passage,question,number,unit,yesno,,spans,query_id,review,review_date,comment
"東漢時代的楊震,是一位品德高尚、學問淵博的人,全國各地慕名而來,向他求教的弟子多達千人。由於他是關西人,所以大家都尊稱他為「關西孔子」。  有一次,他要到山東的東萊去就任太守,途中經過昌邑縣。昌邑縣的縣令王密,曾經受過楊震的提拔,心存感激, 想要報答他。聽說楊震到了昌邑縣,就在半夜裡捧著十斤黃金來求見楊震。  王密跪在地上,非常誠懇的說: 「下官昌邑縣令王密,承蒙您的提拔,衷心感激,特地獻上黃金十斤,聊表謝意,希望大人笑納。」  楊震感到十分驚訝,認為王密實在太不了解他了,連忙說道:  「王兄,你我也認識多年了,難道你還不知道我的為人嗎?你能當官,是因為你的才幹,並不是因為我的提拔;何況官位是國家的,你犯不著用黃金來答謝我。你這麼做,就是賄賂的行為,已經觸犯國法了。」  王密一時沒會過意來,以為楊震害怕犯法,不敢接受魄贈,趕忙低聲的說:「現在已經夜闌人靜了,絕對沒有人知道這件事,大人,這只是一份薄禮,您就放心收下吧!」  楊震聽了,非常生氣,沒有想到王密竟說出這樣的話來,於是板起臉孔,嚴正的說:「這是什麼話?這件事天知道,神知道,我知道,你知道,怎能說沒有人知道?」  這一番話說得王密面紅耳赤,十分惭愧,只好低著頭立刻告退。  後人知道了這件事情,敬佩楊震的廉潔可風,特地蓋了一座「四知堂」來表彰他的美德。  楊震一生,為官清廉,奉公守法,絕不私接賓客,也不取非分之財,僅靠一份微薄的薪俸養家,所以家計十分艱困。他雖然位居高官,可是子孫出門都得步行,沒有車馬代步,三餐吃的是粗茶淡飯,沒有魚肉佐餐。他的長輩和朋友們實在看不過去,都勸他說:  「你不為自己著想,也該為子孫積點錢財,購置田產, 好讓他們的生活寬裕一些呀!」  楊震聽了,只是笑笑的說: 「別人留田產給子孫,我可是留清譽給他們,讓後人知道他們是清廉官吏的後代,這樣的遺產還不夠豐厚嗎?」  在他「清白廉潔」家風的薰陶下,楊震的子孫也都賢能出眾,成為國家的棟梁,受人敬重。",文章中提到哪些人名? ,,,,,"楊震,孔子,王密",1014-1,,,
"西元一六O九年初夏,伽利略在威尼斯聽說有人發明了望遠鏡。他便以自己的科學知識為基礎, 弄懂了製作望遠鏡的原理後,馬上動手造了一架。他的望遠鏡可以把東西放大一千倍,拉近三十倍，超越了人類視力的限制。他興奮的把望遠鏡轉向無垠的天空,觀察月亮、銀河以及燦爛的太陽，看到了許多以前的人所不知道的現象:月亮表面凹凸不平,像地球一樣散布著深谷與斷層;銀河並非發光的雲氣,而是由無數星球所組成的;太陽的黑點，無論形狀及大小都變化萬千。 
藉著這些觀察所得與精確的數學計算,伽利略深信之前波蘭學者哥白尼提出的「地動說」—太陽靜止不動,地球與行星圍繞太陽運轉,確是事實，而非一般人認為的數學假設。但在當時,絕大多數的人仍然以為,地球才是宇宙的中心,太陽、月亮和其他的星球都繞著地球轉動。握有強大權勢的天主教會,也以聖經的記載-如「神將地立在根基上,使地永不動搖」等,作為自然界的真理，堅信地球為神所創造,而且是宇宙的中心。 
伽利略才華洋溢,他以生動的方式向大眾介紹望遠鏡,寫了一本名為星星的使者的小書,說明他的發現,而引起大家熱烈的討論,並給他崇高的讚譽。伽利略衷心希望除了天文學家或數學家外,一般的民眾也可以享受這些新知所帶來的喜悅。可是,他的熱情與好意卻為自己帶來天大的災禍。「天主教會漸漸感受到一種強大的壓力,害怕伽利略的言論會動搖教徒的信心。尤其伽利略用親身觀察的方式去理解「上帝創造的自然」,更讓教會惶恐不安。伽利略所持的理由是:造物主既賦予人類感官、理性與聰明才智,就不可能要我們放棄由此得到的知識。他說,如果古代的哲學家，看到我們今日所看到的現象,也一定會做出和我們相同的判斷。同時,他本著對教會的敬愛及對天文學發展趨勢的了解,希望教會能辨別宗教與科學的分際,謹慎的詮釋聖經中與自然真理相違背的章節。 
然而,教會畢竟無法接受他的辯白,教皇還是下令傳訊他到羅馬,接受宗教法庭的審判。他以違逆神的旨意及聖經的教導,被判終身軟禁,在疾病與寂寞中孤獨的死去。不過,他的論證在幾百年後的今天看來,仍舊是屹立不變、顛撲不破的真理。",文中提到哪些城市或國家?,,,,,"威尼斯,羅馬,波蘭",1015-1,,,
,文章中提到哪些人名? ,,,,,"哥白尼,伽利略",1015-2,,,
"賴東進出生在乞丐家庭,家裡共有十二個小孩。父親 眼全盲,母親與大弟都是重度智障,全家十四口四處流浪, 靠乞討維生。賴東進身為長子,從小除了必須陪著父親四處行乞,以求得全家溫飽外,更必須肩負起照顧母親及弟妹的責任。他說:「在十歲以前,我們居無定所,我幾乎是在寒風、露水、日晒、大雨中度過童年。樹是我的屋頂,大地是我的床,墳場是我的家。」 
由於每天赤腳行乞,賴東進腳底結了一層厚厚的繭, 堅韌到連踩在玻璃上都刺不破。他嘗盡人間的冷暖,受盡別人的嘲罵,只為求得一家人填飽肚子,活著看見明天的太陽 他說:「我們沒有選擇的權利,別人施捨給我們什麼,我們就吃什麼。有時飯粒掉到地上,撿起來也顧不得髒,還是一樣吞進肚子裡。」 

賴東進直到十歲,才開始讀小學。為了家人的生活,他每天一放學,就得牽著爸爸去行乞,車站前,夜市裡,爸爸 彈著月琴,邊奏邊唱,賴東進在旁邊藉著微弱的路燈餘光, 跪在地上寫功課。每當有人丟下零錢,他得馬上放下筆向人磕頭道謝。雖然地面凹凸不平,燈光又很微弱,但他的字在 班上仍是寫得最好的,翻開作業,每一篇都是甲上。賴東進 說:「不管大街上再吵、再鬧,越是困難,我越覺得讀書時 間的可貴,越是要珍惜。」 
就是這股認真不服輸的精神,小學六年他一共拿了八十幾張獎狀,而且年年當選班長。國中畢業以後,賴東進選擇進入職校,開始半工半讀的生活。在工廠裡他認真學習,從最基層的打雜工,到技術層面的工作,他一點一滴的學, 獲老闆的重視與信任。他說:「我的流浪生活讓我深切 
白,世界上沒有僥倖,只有靠自己的努力,才能獲得生命的一切。」 

賴東進憑著過人的意志,終於闖出一片天空。他從匍匐地上乞討求生的小乞丐,變成擁有員工五十餘人的工長,不僅事業有成,而且家庭美滿,民國八十八年更獲得十大傑出青年的殊榮。在得獎的那一天,他手握著金手獎獎座,眼望著來賓席上智障的母親和大弟,用堅毅的口吻,發表得獎感言,他特別提到:「感謝老天給了我這麼充滿磨練的生活環境、坎坷的際遇,以及我重殘的雙親!我告訴自己,我要做給上天看,不論再怎麼苦,再怎麼不幸,我都能夠走出自己的一條路,為自己開創一片天!」全場的來賓無不被他坎坷的境遇和奮鬥的精神所感動,紛紛起立鼓掌,給予最高的敬意。"," 請問文章中賴東進獲民國八十八年更獲得十大傑出青年,得獎的那一天哪些家人參與?",,,,,"母親,大弟",1016-1,,,
"戰國末期,有一位慷慨赴義、壯烈成仁的荊軻,在易水河邊唱了一首短歌,跟送行的人訣別。那時候,正是大陸北方的深秋。易水河上的西風,吹起一片寒波。灰暗的天色,枯黃的野草,好像隱藏著無限悲憶的情感。 

一清早,易水河邊已經來了幾個人,都是要為那視死如歸的英雄荆轲送行的。大家都知道荊軻這一去泰國,再也不能生還了。主人是燕國的太子丹,在河邊擺開著簡單的早宴。他所帶來的衛士,每個人都改穿了白衣。另外還有荊軻的好友高漸離,也是一位英雄,一臉剛強堅定的神色,手中提著簡單的樂器——筑。大家都心情沉重的不說話,有的默默坐著,有的翘首盼望,靜候荊軻到來。
「來了!來了!」在一片呼聲中,兩個人騎著馬一齊來到:前面是英勇雄壯的荊軻,後面是他的助手秦舞陽,他們都穿著燕國專使的衣服。這兩人為了幫助燕國,反抗暴秦,情願犧牲自己的生命,到秦國去行刺秦王。
太子丹走近荊軻,想要說幾句送別的話,卻哽咽著一句也說不出來。他勉強忍著盈眶的熱淚,向荊軻和秦舞陽敬酒。
荊軻有堅定的決心,生死早已不放在心上,仍然英氣勃勃,飲酒吃肉,談笑自如。每個人都來向荊軻敬酒,只有高漸離 忽然取出筑來,擊出音調高亢的樂曲,在雄壯堅決中,隱隱含著生離死別的哀傷。  
荊軻、秦舞陽雄赳赴的站起身,向太子丹躬身辭別。荊軻轉身向高漸離打個手勢, 高漸離擊筑的音調忽然急轉成悲壯。荊軻和著筑聲,大步向前走,引吭高歌:風蕭蕭今易水寒,壯士一去兮不復還! 
歌聲未歇,荊軻、秦舞陽躍上馬背, 向西馳去,一路黃塵滾滾,漸漸的遠得看不見了。
只有那悲壯的歌聲,好像還繚繞在蕭蕭的西風裡,迴盪在冷冷的易水上。",文章中提到哪些人名? ,,,,,"太子丹,荊軻,秦舞陽",1017-1,,,
,文中提到哪些國家?,,,,,"燕,秦",1017-2,,,
"一個人假使說錯了話,做錯了事,能夠自己反省,以後不再重蹈覆轍,這就叫「知恥」。知恥的人,知道什麼話不應該說,什麼事不應該做,而且在反省以後,能夠切切實實的覺悟,改正自己的缺點,朝著理想的目標邁進,不怕任何的危險困難。這種人不但能知恥,而且有不避危難的勇氣,可以算得是勇敢的人。孔子說:「知恥近乎勇」,就是這個意思。

生活在團體中的個人,自然有許多應該遵循的道德規範。假使違背了它,不但有損個人的名譽,有時候也會危害到整個團體,成為害群之馬。想一想,這是多麼可恥的事!但是,人畢竟不是聖賢,有時難免會說錯話,做錯事。假使說錯了話,做錯了事,又不肯反省改進,這種人就是不求上進;假使能夠切切實實的反省,切切實實的覺悟,那麼他就能夠鼓起勇氣,改過向善,重新做人。像周處起先干犯禮義,為非作歹,可以說是地方上的害群之馬。但是,等到他痛改前非以後,就不避危難的去打猛虎,殺大蛟。

想一想,這需要多大的勇氣!周處所以由地方上的害群之馬,變成人人心目中的大英雄,無疑的,就是因為他能夠知恥的緣故。

知道羞恥,不但對個人重要,對國家來說,也一樣重要。 
假使人人都有知恥之心,曉得「國家興亡,匹夫有責」的道理,這樣的國家哪有不興盛的呢?即使國家一時被強敵打敗了,只要人人知恥,不顧生死,肯為國家犧牲,再頑強的敵人，也一定會有潰敗的一天。句踐被吳王打敗以後,臥薪嘗膽,明恥教戰,終於 復興了越國。田單苦守即墨的時候,也用明恥教戰的方法,來激發齊國人同仇敵愉的精神,終於收復了齊國的失土。這些都是最好的例子。
我們既然明白了「知恥」的重要,就應該鼓起最大的勇氣,改正自己的缺點,愛惜團體的榮譽,天天反省,時時檢討, 做一個堂堂正正的好國民。",文中提到哪些國家?,,,,,"吳,越,齊",1018-1,,,
"丘逢甲生於清朝末年，是苗栗的客家人，從小就聰明好學，父親是一位私塾老師，對他管教很嚴。逢甲七歲會做詩，十四歲就考上了秀才，被人稱做「神童」。
據說丘逢甲去考秀才的時候，由彰化一路走到府城臺南，半路上走不動了，爸爸就背著他走。同行的朋友取笑他：「以父作馬」，他不假思索的對了一句：「望子成龍」。大家都稱讚：「果然是位有急智、有文才的神童。」長大以後，他跟朋友們打賭，三天之內完成了一百首描寫臺灣景物的絕句。這些詩表露了逢甲對家鄉的深刻情感，讓朋友們讚不絕口，公認他是臺灣了不起的詩人。
一八九四年，清朝政府因為戰敗，決定把臺灣割讓給日本。消息傳來，臺灣的人民非常氣憤，丘逢甲不但帶頭上書給朝廷表示反對，並且和地方仕紳組織了義軍，誓死保衛家園，結果義軍失敗，逢甲匆忙逃離臺灣。離臺時，他沉痛的寫下了「宰相有權能割地，孤臣無力可回天」的詩句。斥責當政的宰相權力太大，任意割讓國土，感嘆身在臺灣的小臣無能為力，無法挽回被割讓的命運。
離開了臺灣的丘逢甲，像是失根的一葉蘭，既感慨家鄉淪陷，又痛心政府無能，寫了許多血淚交織的詩。割讓臺灣一週年的時候，他寫：「四百萬人同一哭，去年今日割臺灣。」在他心中，臺灣被割讓，是全臺灣人民的傷痛，怎不讓大家同聲一哭呢！
丘逢甲從此長居大陸，再也沒有回過臺灣，但他在詩裡卻是「夜夜夢臺灣」。臨死的時候，他叮寧家人將他葬在面向南方的海邊，好永遠隔海眺望故鄉。這位愛國詩人，就這樣傷心的死在異鄉，他最後的一句話是：「忘不了臺灣！」",文中提到哪些國家?,,,,,"清,日本",1019-1,,,
,文中提到哪些縣市?,,,,,"苗栗,彰化,台南",1019-2,,,
,文中提到哪些縣不含目前為直轄市?,,,,,"苗栗,彰化",1019-3,,,
"布袋戲的表演，除了後場伴奏的樂師以外，前場主要由一位演師擔任，稱作「頭手」。這位演師責任重大，負責大部分戲偶的身段動作，道白唱腔。因為偶頭是木刻的，臉上只有固定的表情，沒有喜怒哀樂的變化，所以演師必須在身段上盡量發揮。小小的戲偶，在演師的雙手操控之下：「齊眉旦」載歌載舞，水袖翩翩；「文生」寫字蓋章，舉止斯文；「武生」翻筋斗，跳花窗，飛簷走壁；「三花笑」搖頭晃腦，抓耳扭腰；「白闊」一邊抽煙斗，一邊咳嗽，還冒出縷縷白煙。種種身段動作，無不唯妙唯肖，令人拍案叫絕。
傳統的布袋戲，經常在廟口廣場演出，用來敬謝神明，祈福還願。每當鑼鼓一響，戲偶舞動，這個栩栩如生的掌中世界，總是吸引了許多男女老幼的目光；這個悲歡奇情的袖珍舞臺，也伴隨著無數的臺灣孩子成長。這是我們民俗文化的瑰寶之一，值得我們珍惜典藏。",文中提到布袋戲戲偶有哪些角色?,,,,,"齊眉旦,文生,武生,三花笑,白闊,",1020-1,,,
,文中提到布袋戲表演需哪些人?,,,,,"樂師,演師",1020-2,,,
"五月初夏的晚上，澎湖望安島的海風把白天的熱氣一吹而散，一隻綠蟻龜媽媽悄悄的從海上爬行到沙灘。似乎受到天然母性的領航，牠很快就找到一個適合產卵的地點。牠先用前肢挖掘一個可以容納龜身的大洞，再用後肢挖掘一個可供產卵的小洞，然後在洞裡產下一百多個乒乓球大小的卵。緊接著忙碌的綠蠕龜媽媽還得花上一個多小時，仔仔細細的用沙把卵掩埋好，才蹣跚的爬回大海中，只在沙灘上留下一道長長的爬行痕跡。
綠蠕龜除了上岸產卵以外，終其一生都在大海中生活。牠們雖然是海裡的游泳高手，但是上了陸地，行動卻變得又笨又慢，加上生性害羞，沒有自我防禦的能力，因此母龜很容易受到天敵的攻擊，所以牠們都是選擇夜間到少有人煙的沙灘上產卵。任何輕微的干擾，都會使母龜受到驚嚇，游回大海。在臺灣東部、南部沿岸的沙灘，過去每到夏季都可以看見海龜夜裡上岸產卵的畫面，但是隨著環境的惡化和人為的破壞，現在除了澎湖的望安島，其他地方較難定期看到牠們的行蹤。
大約經過五十多天的自然孵化後，一隻隻脆弱的小生命破殼而出。牠們會在夜晚成群的爬出洞穴，循著海浪的聲音，利用海面光線的導引，快速的爬向大海的家。這段對人類而言不過幾步之遙的路程，卻是小龜們生死的關鍵。任何一個有感情的人，看到小龜為自己的生命奮鬥都會動容；任何一個有知識的人，都知道應該退出沙灘，遠遠的走避。但是由於人類的好奇和無知，使得這些小龜飽受威脅。他們扶老攜幼擋住小龜爬行的路徑，閃光燈、手電筒此起彼落，高聲的喊叫，來回的奔跑，使得原本平滑的沙地，被踩出不計其數的坑洞，徒增小龜爬行的困難，也驚擾了小龜回家的方向，使牠們爬向陸地，走向死亡。
這種對生命的不尊重，令人痛心疾首。畢竟地球並不是人類所獨有的，綠蠕龜也有牠生存的權利，兩者的生命是同樣的可貴。期待下一次當你踏上鳥語花香的望安島時，能用愛護的心、疼惜的心，善待這裡的自然生態資源，讓瀕臨絕種的綠蠕龜能定期回來，也讓我們的下一代，能夠目睹海龜上岸繁衍的大自然奇景。",文中提到綠蟻龜孵化後依什麼導引爬向大海,,,,,"海浪的聲音,海面光線",1021-1,,,
"一臺電腦,它可以配合電話系統和另一臺電腦連接起來,彼此分享對方儲存的資料。利用這樣的原理,把許多電腦集合起來,讓它們彼此互相連接，結合成一張綿密的網，那麼每一臺電腦就可以擁有所有電腦儲存的大量資料了。這樣的設計，就叫「網路」，意思是「網狀的通路」。

西元一九六九年,美國因為國防上的需要，
全力進行網路實驗，獲得成功。美國國內許多學術機構，開始利用網路互相交換研究成果。一九九三年，他們又開發了圖像化的「全球網際路」，有了全球網際網路，任何一臺電腦都可以和世界上任何地區的任何網址相連接，大大拓寬了網網路的功能。

舉一個例子說:美國某一所大學的研究生，正在研究丹麥童話，需要一份安徒生的詳細生平資料。他只要使用網際網路，當下就可以在丹麥一個學術機構的檔案裡查到。你說這是不是很方便？

臺灣的網路實驗，也是從學術機構開始。西元一九八一年，國內幾所大學開始有了小規模的網路結合。
一九九一年，教育部申請到一條專線，跟美國國內一所大學的網際網路相連接。再經過兩年的時間,也就是一九九三年，我們就跟全球網際新科技接軌了。

在網際網路蓬勃發展的過程中,電腦又出現一項新功能—「電子郵件」。有了電子郵件,我們可以利用網路，跟世界上任何地區的人通信,只要你知道那個人的網址。更方便的是，同一封信還可以同時發給許多人,簡直就像發通告。

網路為我們帶來一個新的「資訊時代」，同時也改變了我們的日常生活。我們除了可以在網路上查到取用不竭的資料以外，還可以把日常生活中的許多事情交給網路去做。例如:通信，購物，買車票，申請戶口名簿，向醫院掛號，向銀行領錢等等，只要你輕輕按一下滑鼠，一切問題都迎刃而解了。

根據美國一家資訊公司的調查，現在全世界使用網路的人已經超過一億，美國國內的使用者大約是五千萬人。臺灣的使用者有多少呢?根據調查，早已經有數百萬人了。",文中提到年些年份,,,,,"一九六九,一九九三,一九八一,一九九一,一九九三",1022-1,,,
,文中提到和台灣有關年份有哪些?,,,,,"一九八一,一九九一,一九九三",1022-2,,,
,文中提到和美國有關年份有哪些?,,,,,"一九六九,一九九三,一九九一",1022-3,,,
,文中提到哪些國家或島嶼? ,,,,,"台灣,美國,丹麥",1022-4,,,
,文中提到日常生活中的哪些事情可交給網路去做,,,,,"通信,購物,買車票,申請戶口名簿,向醫院掛號,向銀行領錢",1022-5,,,
"唐玄宗開元年間，有一日天氣寒涼，雪花微飄。邊塞派的詩人王昌齡、高適、王之渙三個興趣相投的好朋友，相約到旗亭飲酒賦詩。剛巧遇到幾位美麗的少女，在這裡唱曲宴樂。三人便約定以女子演唱各人所作詩篇的情形，來定詩名的高下。
最先被唱到的是王昌齡的作品，王昌齡高興極了，喜孜孜的在牆壁上畫一道記號，然後是高適，高適也眉開眼笑的在牆上畫下記號，接著又是王昌齡和高適的詩作。眼看情形不妙，王之渙著急了，雙手不停的搓著，額頭上微微的滲出了汗水。他指著女子中最明麗動人的一位，堅定的對兩位朋友說：「如果這位美人所唱的，不是我的作品，我情願甘拜下風。」結果最美的這位女子開口了，聲音之清亮悅耳，仿佛黃鶯出谷，讓人不禁凝神諦聽。她唱的是：「黃河遠上白雲間，一片孤城萬仞山；羌笛何須怨楊柳，春風不度玉門關。」
這正是王之渙所作，情調雄闊蒼涼的七言絕句──涼州詞。詩歌中，表現了邊塞軍士深切思念家園的鄉情。詩歌的內容是說：在這塞外，一眼望去，只見黃河遠遠的仿佛從白雲間傾瀉下來，一座孤城矗立在萬丈高山環抱之中，這情景是多麼的蒼茫荒涼。哪些駐守在這邊城的將士，已經夠哀怨的了，羌笛又何必再吹起引人離緒的「折楊柳」曲子，讓人更增添無限的悲愁？要知道春風從來就不曾吹到過玉門關的啊！更何況是在這塞外的地方？
歌聲剛歇，王昌齡和高適不禁拍起手來，對王之渙的自信與才情讚佩不已。而王之渙也得意洋洋，痛快的多喝了幾杯酒，三人盡興而歸。",文中提到哪些人名?,,,,,"唐玄宗,王昌齡,高適,王之渙",1023-1,,,
,文中提到哪些詩人?,,,,,"王昌齡,高適,王之渙",1023-2,,,
"東漢末年，丞相曹操率大軍南下，意圖統一四海。劉備自知不敵，便由軍師諸葛孔明出馬，說服吳國合力抗曹。他們在長江南岸布好陣勢，隔江對抗曹軍。
吳國統帥周瑜平日總聽身邊的魯肅稱讚孔明足智多謀，心裡很不是滋味，又擔心劉備擁有這樣的人才，對吳國不利。現在見孔明前來聯盟，便極力想要除此大患。他特地當眾向孔明請教：「請問先生，和曹軍交兵，用什麼兵器最合適？」
「江面廣闊，應當先用弓箭射擊。」孔明神色自若的回答。
周瑜假作憂愁的說：「但我們軍中箭枝短缺。麻煩先生指揮製造十萬枝箭備戰，好嗎？」
孔明一口答應：「當然應該效勞。您什麼時候要用？」
周瑜想了想，說：「十天之內能辦成嗎？」
魯肅在旁一聽，心想十萬枝箭，十天怎麼可能造得出來？周瑜根本是存心為難孔明嘛。誰知孔明竟篤定的回答：「三天就行。」
周瑜連忙追問：「軍中無戲言，你能保證嗎？」
孔明胸有成竹的笑著說：「我可以簽下軍令狀，三天交不出箭，甘願受罰。」
周瑜馬上拿出軍令狀，盯著孔明簽了名，高興的想：「三日後叫你死而無怨！」
會後，魯肅趕緊來看看孔明需要什麼協助。不料孔明氣定神閒的說：「箭材都不必了，只請魯兄借我二十艘戰船，每一艘都搭上布幔，紮滿草束，配備三十名軍士。三天後，你就派人來搬箭吧！」
魯肅滿腹狐疑的預備好船隻，卻不見孔明採取行動；第二天也沒有動靜，直到第三天深夜，孔明忽然請他上船，說：「我們取箭去吧！」
魯肅發現船隻都用長索相連，直往江北敵營方向划去，不禁坐立難安。正想幸好今晚大霧瀰漫，也許可以遮掩形跡，不料孔明卻偏偏命軍士將船在敵軍陣前一字排開，擊鼓呐喊。魯肅一聽，大驚失色，忙搖手說：「曹操兵多勢大，攻過來怎麼得了？」
孔明笑著說：「放心吧！曹操多疑，不會霧中開戰的，一定只在遠處放箭。我們就等著收箭吧！」
果然，曹操一聽說敵人深夜進攻，便下令：「霧這麼大，必有埋伏！我們絕不可輕易應戰，用亂箭射他就好。」
一時間曹軍群集江邊，箭如雨發，枝枝畫破濃霧，飛向孔明船上的草束而來。
孔明談笑風生的和魯肅在船艙中觀戰，見這一邊的草束已插滿了箭枝，便命軍士將船掉頭，用另一側的草束繼續上前受箭。很快的，所有船邊的草束上都滿載利箭。孔明一揮羽扇，下令停鼓收船，並讓軍士齊聲高呼：「謝丞相箭！」
曹操聽見呼喊，知道上當，但船輕水急，吳軍早已迅速順流而下，要追也來不及了。
天亮時，孔明及時點交了箭枝。周瑜聽說不費一兵一卒，就平白奪來了十幾萬枝敵營的箭，也不禁為之嘆服：「孔明神機妙算，實在遠高過我啊！」",文中提到哪些人名?,,,,,"曹操,劉備,孔明,周瑜,魯肅,",1024-1,,,
"世界上很多國家都有國花，有的象徵一國的精神，有的含有歷史的意義，有的與氣候或物產有關，各有各的道理。
例如:美國以山楂花（又稱五月花）為國花，這是因為他們的祖先當年到美洲開荒所乘的船，名為五月花號，所以用它來象徵冒險進取的開國精神。
法國古代曾有勇士，拿著畫有三朵百合花的盾牌上陣，每次都打了勝仗，因此法國就用這種象徵吉利的百合花，作為國花。
其他像日本的櫻花，土耳其的康乃馨，希臘的橄欖花，埃及的睡蓮，英國的薔薇等等，都各有它們被選作國花的意義。
我國從唐朝開始，就以牡丹為國花，一直沿用到清朝。牡丹濃豔芬芳，是花國之王，被稱為國色天香，自然有它雍容華貴的氣象。但是，牡丹花雖然濃豔卻不夠堅忍，雖然芬芳卻未免嬌弱，無法表現中華民族的特性。因此，中華民國奠都南京之後，政府在民國十七年底，正式宣布以梅花為國花。
梅花有三蕾五瓣，正好象徵三民主義和五權憲法。它有一身傲霜鬥雪的鐵骨，富有堅忍耐苦的精神。在清淺的水邊，疏影橫斜；在昏黃的月下，暗香浮動。那冰清玉潔的花朵，就是它高尚品格的象徵。梅花的精神和品格，也就代表了我們國家在苦難中愈挫愈奮、愈戰愈勇的精神。
在凜冽的寒風中，一枝梅花的開放，透露了冬天將去、春天要來的消息；也為我們在苦難中成長的國家，帶來了光明的希望。",文中提到哪些國家? ,,,,,"美國,法國,土耳其,日本,泰國,希臘,埃及,英國,中華民國",1025-1,,,
,文中提到哪些花? ,,,,,"山楂花,百合花,櫻花,康乃馨,橄欖花,睡蓮,薔薇,牡丹,梅花",1025-2,,,
